year,venue,title,authors,paper,video,code,data,unofficial_code,category,subtask,supervision,method,note,top_note
Unsupervised (Disentanglement),,,,,,,,,,,,,,
2017,ICML,Sequence to Better Sequence: Continuous Revision of Combinatorial Structures,"Jonas Mueller, David Gifford, Tommi Jaakkola",http://proceedings.mlr.press/v70/mueller17a/mueller17a.pdf,,https://bitbucket.org/jwmueller/sequence-to-better-sequence/,,,unsup-disent,,,,,
2017,ICML,Toward Controlled Generation of Text,"Zhiting Hu, Zichao Yang, Xiaodan Liang, Ruslan Salakhutdinov, Eric P. Xing",https://arxiv.org/pdf/1703.00955.pdf,,https://github.com/asyml/texar/tree/master/examples/text_style_transfer,,https://github.com/GBLin5566/toward-controlled-generation-of-text-pytorch,unsup-disent,,,,,
2017,NeurIPS,Style Transfer from Non-Parallel Text by Cross-Alignment,"Tianxiao Shen, Tao Lei, Regina Barzilay, Tommi Jaakkola",https://papers.nips.cc/paper/7259-style-transfer-from-non-parallel-text-by-cross-alignment.pdf,,https://github.com/shentianxiao/language-style-transfer,Yelp https://github.com/shentianxiao/language-style-transfer/tree/master/data/yelp,,unsup-disent,,,,,
2017,arXiv,Zero-Shot Style Transfer in Text Using Recurrent Neural Networks,"Keith Carlson, Allen Riddell, Daniel Rockmore",https://arxiv.org/pdf/1711.04731v11,,https://github.com/keithecarlson/Zero-Shot-Style-Transfer,,,unsup-disent,,,,,
2017,NLPCC,Unsupervised Automatic Text Style Transfer Using LSTM,,http://tcci.ccf.org.cn/conference/2017/papers/1135.pdf,,,,,unsup-disent,,,,,
2018,AAAI,Style Transfer in Text: Exploration and Evaluation,"Zhenxin Fu, Xiaoye Tan, Nanyun Peng, Dongyan Zhao, Rui Yan",https://arxiv.org/pdf/1711.06861.pdf,,https://github.com/fuzhenxin/text_style_transfer,,,unsup-disent,,,,,
2018,ICML,Adversarially Regularized Autoencoders,"Jake Zhao (Junbo), Yoon Kim, Kelly Zhang, Alexander M. Rush, Yann LeCun",https://arxiv.org/pdf/1706.04223,,https://github.com/jakezhaojb/ARAE,,,unsup-disent,,,,,
2018,NAACL,SHAPED: Shared-Private Encoder-Decoder for Text Style Adaptation,,https://arxiv.org/pdf/1804.04093,,,,,unsup-disent,,,,,
2018,ACL,Style Transfer Through Back-Translation,"Shrimai Prabhumoye, Yulia Tsvetkov, Ruslan Salakhutdinov, Alan W Black",https://arxiv.org/pdf/1804.09000,,https://github.com/shrimai/Style-Transfer-Through-Back-Translation,,,unsup-disent,,,,,
